gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
RAB7A,64.71940151,59.92767388,67.44576542,68.35432998,57.58855725,68.50946254,56.12271895,65.43169627,73.76298761,76.04911065,61.76558871,66.16943067,64.38064229,52.58940958
LOC101119679,3.587339,6.020236,2.634186,2.854416,4.876926,1.830532,4.633528,7.243653,9.840306,11.483158,14.133361,11.08755,3.982655,5.29533
LOC101118484,0,0.241659,0.25598,0,0.597534,0.797841,0.278988,0.540277,1.181876,0.744031,0,0.614564,0.546282,1.387198
LOC105605158,0.226928,0,0.220882,0.088113,0.2215,0.237325,0.164515,0,0.405565,0.265707,0.202091,0.281003,0.201913,0.358458
LOC105609513,0.094572,0,0.0885,0.203799,0,0.153424,0.190275,0.142921,0.22889,0,0.192334,0.099399,0.212644,0.151853
LOC101108575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAT1,9.34659764,10.98589681,10.77249821,14.03174991,11.16271218,10.13865556,12.85928092,7.827515299,6.244657563,8.429966171,5.468734119,5.91138264,2.367949212,2.734020131
ZNF135,4.783167089,3.468803499,4.726224289,1.36818839,2.459231291,3.528291536,1.883323703,0.815928484,0.68010546,1.473623761,1.090750242,1.058510774,4.228861323,2.824368958
CPPED1,4.14971291,3.875497591,5.830374889,2.465251322,7.310648745,6.361413872,6.560066457,8.066159887,10.72891992,7.956634938,5.614925074,4.990196788,7.096712169,10.82729072
AGAP1,12.740504,10.86043,11.803834,7.56063,13.535451,10.828412,7.798224,8.207757,7.651031,6.648873,7.408101,7.412311,5.481665,3.174939
LBR,6.832668731,5.215037678,5.054391944,8.652532669,5.919318685,2.869018614,2.573641084,8.047862552,7.29494899,6.271759336,8.138091115,7.922467269,3.662527909,3.522882411
ACSBG1,0.011894731,0.008064745,0.01599257,0.08721132,0.066420913,0.017723883,0.023376462,0.008469516,0,0.194134547,0.18574341,0.323413464,0,0
OSBP,17.264141,16.824486,18.867384,17.390617,18.306492,21.68458,17.107801,17.180708,18.331131,17.341246,16.601498,18.35099,20.928915,14.33737
KIAA0040,3.090648331,3.211700791,4.089460035,2.082414491,9.361198123,7.177439915,8.098231468,9.500815688,14.8874346,10.4739544,11.17985074,9.85596226,10.02121689,5.739217302
LOC101106404,15.216913,17.107077,19.580664,19.0019,27.404488,25.084995,24.185955,24.061533,25.667931,22.501003,23.495388,21.8297,27.407068,22.551544
ACE,0.385121,0.555992,0.544759,0.324051,0.17788,0.476028,0.369867,1.782071,0.79052,0.332445,4.249903,4.756959,1.260348,2.836745
RHBDF1,19.389011,20.612379,19.99341,21.792755,9.654099,12.911953,13.285274,10.137321,10.597267,10.248028,10.531128,10.88026,5.582242,4.544739
TMX2,26.446739,26.614206,30.74375,27.887743,42.121319,44.274181,42.200001,42.902477,50.123264,48.610416,37.936741,42.322624,66.847115,57.088196
LOC105612090,7.071895,5.954682,5.777403,9.784115,4.09036,4.837151,4.468585,6.289526,8.097042,5.156726,3.295047,4.46698,7.261935,5.991188
USF2,44.930595,49.645546,48.55479,59.086506,50.477894,50.258022,39.239456,46.666729,55.932106,54.888649,41.42519,40.465157,43.180531,41.941429
TBC1D2B,5.153683114,6.109249435,5.23355644,3.510277364,5.51425352,5.816367976,3.452030705,4.727422798,4.99716606,4.993927483,8.213837068,8.177748053,2.812956891,2.623196456
RPE,4.676341853,3.758499178,4.089869669,2.395997333,6.270591658,4.490949438,5.574368347,6.692976201,6.695685102,5.730072769,6.506003609,9.12220175,8.506002725,11.56186462
BIN2,0.179280056,0.0475035,0,0.200451224,0.13593842,0.090166535,0.100561797,7.034439545,6.186425611,9.778375564,2.058227466,2.817396487,0.381204899,0.999686882
FBRS,24.194498,21.890041,20.321178,23.243271,17.123522,19.185719,14.482959,14.919923,13.099463,13.97747,9.862432,10.900568,8.730338,5.970819
AXIN2,5.326224,6.155478,6.427441,2.206871,6.102916,6.539312,2.964803,5.634209,7.219075,5.991214,4.932862,5.810558,6.463582,5.035841
ABHD16A,29.286243,29.705853,33.052605,25.821964,40.099289,36.007622,35.447624,30.302252,30.426788,27.700191,24.741465,23.855406,23.348965,20.190231
ANKRD13B,5.732686,6.024791,7.750782,2.789014,8.783368,10.962865,7.611472,5.838465,7.226941,5.364175,3.776693,3.347177,7.312572,3.584929
MSH3,4.624290516,3.035288206,4.287888717,1.717449661,4.913846403,4.754730076,6.011767748,4.509390382,4.516908632,4.497399593,5.055307256,3.48981464,3.796946479,4.468298343
PRADC1,10.013983,12.16897,13.352475,10.961583,20.570038,13.655214,20.078917,16.556484,21.044977,18.710421,20.550308,19.97784,17.480801,17.092232
